"subID","block","trial","response","rt","objrewardstim","facerewardstim","scenerewardstim","trialtype","feedback","obj1stim","obj2stim","face1stim","face2stim","scene1stim","scene2stim","RewardCat","choice","HH","HL","LH","LL","NH","NL","subid","Gender","ExactAge","AgeGroup"
"MotER_500","Test","9","1","9882","1","1","2","face2scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","2","1","3426","1","1","2","face1face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","6","2","4500","1","1","2","scene1face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","0","1","1198","1","1","2","obj1obj2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","22","1","6548","1","1","2","obj1face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","29","1","1566","1","1","2","face2obj2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","24","1","1519","1","1","2","obj1face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","5","1","1530","1","1","2","scene2scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","19","2","2040","1","1","2","obj1scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","12","1","7328","1","1","2","scene2face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","11","2","2719","1","1","2","face1scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","28","2","9769","1","1","2","obj2face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","10","1","1858","1","1","2","scene2face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","25","2","2436","1","1","2","face2obj1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","4","2","1163","1","1","2","scene1scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","1","2","1245","1","1","2","obj2obj1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","3","2","1017","1","1","2","face2face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","17","1","3755","1","1","2","obj2scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","15","1","996","1","1","2","obj1scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","27","1","963","1","1","2","face1obj2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","23","2","1700","1","1","2","face1obj1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","8","2","1911","1","1","2","scene1face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","21","2","1654","1","1","2","obj2scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","14","2","1232","1","1","2","scene1obj1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","13","2","2638","1","1","2","face2scene2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","7","1","1215","1","1","2","face1scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","16","2","2737","1","1","2","scene1obj2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","20","1","2008","1","1","2","scene2obj2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","26","2","1283","1","1","2","obj2face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","18","1","2201","1","1","2","scene2obj1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","scene2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","9","1","10341","1","1","2","face2scene1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face2","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","2","1","1271","1","1","2","face1face2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","6","2","1078","1","1","2","scene1face1","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","face1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
"MotER_500","Test","0","1","760","1","1","2","obj1obj2","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","face","obj1","face1","face2","scene2","scene1","obj1","obj2",500,0,20.66575342,1
