"subID","block","trial","response","rt","objrewardstim","facerewardstim","scenerewardstim","trialtype","feedback","obj1stim","obj2stim","face1stim","face2stim","scene1stim","scene2stim","RewardCat","trialnum","strippedtrialtype","correctresponses","StimRewardType","Instance","subid","Gender","ExactAge","AgeGroup"
"MotER_500",3,"23","1","552","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",84,"face",1,"high",27,500,0,20.66575342,1
"MotER_500",3,"26","1","611","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",87,"face",1,"high",28,500,0,20.66575342,1
"MotER_500",3,"28","1","917","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",89,"face",1,"high",29,500,0,20.66575342,1
"MotER_500",3,"29","1","596","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",90,"face",1,"high",30,500,0,20.66575342,1
"MotER_500",4,"0","1","538","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",91,"face",1,"high",31,500,0,20.66575342,1
"MotER_500",4,"4","1","937","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",95,"face",1,"high",32,500,0,20.66575342,1
"MotER_500",4,"8","1","420","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",99,"face",1,"high",33,500,0,20.66575342,1
"MotER_500",4,"9","1","630","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",100,"face",1,"high",34,500,0,20.66575342,1
"MotER_500",4,"12","1","659","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",103,"face",1,"high",35,500,0,20.66575342,1
"MotER_500",4,"17","1","678","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",108,"face",1,"high",36,500,0,20.66575342,1
"MotER_500",4,"20","1","998","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",111,"face",1,"high",37,500,0,20.66575342,1
"MotER_500",4,"21","1","589","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",112,"face",1,"high",38,500,0,20.66575342,1
"MotER_500",4,"22","1","525","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",113,"face",1,"high",39,500,0,20.66575342,1
"MotER_500",4,"26","1","887","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",117,"face",1,"high",40,500,0,20.66575342,1
"MotER_500",5,"1","1","748","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",122,"face",1,"high",41,500,0,20.66575342,1
"MotER_500",5,"5","1","660","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",126,"face",1,"high",42,500,0,20.66575342,1
"MotER_500",5,"10","1","702","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",131,"face",1,"high",43,500,0,20.66575342,1
"MotER_500",5,"16","1","1051","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",137,"face",1,"high",44,500,0,20.66575342,1
"MotER_500",5,"20","1","1034","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",141,"face",1,"high",45,500,0,20.66575342,1
"MotER_500",5,"21","1","508","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",142,"face",1,"high",46,500,0,20.66575342,1
"MotER_500",5,"23","1","647","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",144,"face",1,"high",47,500,0,20.66575342,1
"MotER_500",5,"24","1","453","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",145,"face",1,"high",48,500,0,20.66575342,1
"MotER_500",5,"27","1","671","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",148,"face",1,"high",49,500,0,20.66575342,1
"MotER_500",5,"28","1","393","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",149,"face",1,"high",50,500,0,20.66575342,1
"MotER_500",6,"1","1","1146","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",152,"face",1,"high",51,500,0,20.66575342,1
"MotER_500",6,"2","1","476","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",153,"face",1,"high",52,500,0,20.66575342,1
"MotER_500",6,"3","1","676","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",154,"face",1,"high",53,500,0,20.66575342,1
"MotER_500",6,"4","1","555","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",155,"face",1,"high",54,500,0,20.66575342,1
"MotER_500",6,"16","1","621","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",167,"face",1,"high",55,500,0,20.66575342,1
"MotER_500",6,"17","1","554","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",168,"face",1,"high",56,500,0,20.66575342,1
"MotER_500",6,"19","1","482","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",170,"face",1,"high",57,500,0,20.66575342,1
"MotER_500",6,"20","1","480","1","1","2","face12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",171,"face",1,"high",58,500,0,20.66575342,1
"MotER_500",6,"26","1","648","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",177,"face",1,"high",59,500,0,20.66575342,1
"MotER_500",6,"27","1","514","1","1","2","face12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",178,"face",1,"high",60,500,0,20.66575342,1
"MotER_500",1,"1","2","1327","1","1","2","obj12T","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",2,"obj",0,"new",1,500,0,20.66575342,1
"MotER_500",1,"4","1","1315","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",5,"obj",1,"new",2,500,0,20.66575342,1
"MotER_500",1,"5","1","1768","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",6,"obj",1,"new",3,500,0,20.66575342,1
"MotER_500",1,"7","1","1963","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",8,"obj",1,"new",4,500,0,20.66575342,1
"MotER_500",1,"15","1","1525","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",16,"obj",1,"new",5,500,0,20.66575342,1
"MotER_500",1,"19","None","None","1","1","2","obj12F","None","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",20,"obj",0,"new",6,500,0,20.66575342,1
"MotER_500",1,"24","1","873","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",25,"obj",1,"new",7,500,0,20.66575342,1
"MotER_500",1,"25","1","1076","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",26,"obj",1,"new",8,500,0,20.66575342,1
"MotER_500",1,"27","1","903","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",28,"obj",1,"new",9,500,0,20.66575342,1
"MotER_500",1,"28","1","622","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",29,"obj",1,"new",10,500,0,20.66575342,1
"MotER_500",2,"0","1","780","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",31,"obj",1,"new",11,500,0,20.66575342,1
"MotER_500",2,"2","1","1381","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",33,"obj",1,"new",12,500,0,20.66575342,1
"MotER_500",2,"4","1","922","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",35,"obj",1,"new",13,500,0,20.66575342,1
"MotER_500",2,"5","1","572","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",36,"obj",1,"new",14,500,0,20.66575342,1
"MotER_500",2,"14","1","455","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",45,"obj",1,"new",15,500,0,20.66575342,1
"MotER_500",2,"19","1","679","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",50,"obj",1,"new",16,500,0,20.66575342,1
"MotER_500",2,"26","1","780","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",57,"obj",1,"new",17,500,0,20.66575342,1
"MotER_500",2,"27","1","689","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",58,"obj",1,"new",18,500,0,20.66575342,1
"MotER_500",2,"28","1","602","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",59,"obj",1,"new",19,500,0,20.66575342,1
"MotER_500",2,"29","1","518","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",60,"obj",1,"new",20,500,0,20.66575342,1
"MotER_500",3,"1","1","675","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",62,"obj",1,"new",21,500,0,20.66575342,1
"MotER_500",3,"9","1","615","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",70,"obj",1,"new",22,500,0,20.66575342,1
"MotER_500",3,"10","1","565","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",71,"obj",1,"new",23,500,0,20.66575342,1
"MotER_500",3,"11","1","483","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",72,"obj",1,"new",24,500,0,20.66575342,1
"MotER_500",3,"15","1","643","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",76,"obj",1,"new",25,500,0,20.66575342,1
"MotER_500",3,"17","1","611","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",78,"obj",1,"new",26,500,0,20.66575342,1
"MotER_500",3,"20","1","592","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",81,"obj",1,"new",27,500,0,20.66575342,1
"MotER_500",3,"21","1","482","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",82,"obj",1,"new",28,500,0,20.66575342,1
"MotER_500",3,"24","1","623","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",85,"obj",1,"new",29,500,0,20.66575342,1
"MotER_500",3,"27","1","677","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",88,"obj",1,"new",30,500,0,20.66575342,1
"MotER_500",4,"1","1","637","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",92,"obj",1,"new",31,500,0,20.66575342,1
"MotER_500",4,"3","1","568","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",94,"obj",1,"new",32,500,0,20.66575342,1
"MotER_500",4,"5","1","541","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",96,"obj",1,"new",33,500,0,20.66575342,1
"MotER_500",4,"6","1","629","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",97,"obj",1,"new",34,500,0,20.66575342,1
"MotER_500",4,"16","1","611","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",107,"obj",1,"new",35,500,0,20.66575342,1
"MotER_500",4,"18","1","658","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",109,"obj",1,"new",36,500,0,20.66575342,1
"MotER_500",4,"19","1","700","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",110,"obj",1,"new",37,500,0,20.66575342,1
"MotER_500",4,"25","1","429","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",116,"obj",1,"new",38,500,0,20.66575342,1
"MotER_500",4,"27","1","714","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",118,"obj",1,"new",39,500,0,20.66575342,1
"MotER_500",4,"28","1","603","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",119,"obj",1,"new",40,500,0,20.66575342,1
"MotER_500",5,"2","1","657","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",123,"obj",1,"new",41,500,0,20.66575342,1
"MotER_500",5,"4","1","585","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",125,"obj",1,"new",42,500,0,20.66575342,1
"MotER_500",5,"7","1","513","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",128,"obj",1,"new",43,500,0,20.66575342,1
"MotER_500",5,"8","1","798","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",129,"obj",1,"new",44,500,0,20.66575342,1
"MotER_500",5,"9","1","640","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",130,"obj",1,"new",45,500,0,20.66575342,1
"MotER_500",5,"11","1","628","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",132,"obj",1,"new",46,500,0,20.66575342,1
"MotER_500",5,"12","1","529","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",133,"obj",1,"new",47,500,0,20.66575342,1
"MotER_500",5,"15","1","547","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",136,"obj",1,"new",48,500,0,20.66575342,1
"MotER_500",5,"18","1","623","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",139,"obj",1,"new",49,500,0,20.66575342,1
"MotER_500",5,"22","1","550","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",143,"obj",1,"new",50,500,0,20.66575342,1
"MotER_500",6,"6","1","596","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",157,"obj",1,"new",51,500,0,20.66575342,1
"MotER_500",6,"8","1","555","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",159,"obj",1,"new",52,500,0,20.66575342,1
"MotER_500",6,"11","1","608","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",162,"obj",1,"new",53,500,0,20.66575342,1
"MotER_500",6,"12","1","565","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",163,"obj",1,"new",54,500,0,20.66575342,1
"MotER_500",6,"14","1","798","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",165,"obj",1,"new",55,500,0,20.66575342,1
"MotER_500",6,"21","1","569","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",172,"obj",1,"new",56,500,0,20.66575342,1
"MotER_500",6,"22","1","533","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",173,"obj",1,"new",57,500,0,20.66575342,1
"MotER_500",6,"25","1","628","1","1","2","obj12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",176,"obj",1,"new",58,500,0,20.66575342,1
"MotER_500",6,"28","1","601","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",179,"obj",1,"new",59,500,0,20.66575342,1
"MotER_500",6,"29","1","571","1","1","2","obj12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",180,"obj",1,"new",60,500,0,20.66575342,1
"MotER_500",1,"6","1","1979","1","1","2","scene12T","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",7,"scene",0,"low",1,500,0,20.66575342,1
"MotER_500",1,"8","1","1646","1","1","2","scene12T","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",9,"scene",0,"low",2,500,0,20.66575342,1
"MotER_500",1,"10","2","1861","1","1","2","scene12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",11,"scene",1,"low",3,500,0,20.66575342,1
"MotER_500",1,"11","2","1111","1","1","2","scene12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",12,"scene",1,"low",4,500,0,20.66575342,1
"MotER_500",1,"12","2","1812","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",13,"scene",1,"low",5,500,0,20.66575342,1
"MotER_500",1,"13","2","1003","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",14,"scene",1,"low",6,500,0,20.66575342,1
"MotER_500",1,"17","2","1686","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",18,"scene",1,"low",7,500,0,20.66575342,1
"MotER_500",1,"21","2","1529","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",22,"scene",1,"low",8,500,0,20.66575342,1
"MotER_500",1,"22","2","1323","1","1","2","scene12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",23,"scene",1,"low",9,500,0,20.66575342,1
"MotER_500",1,"29","2","1207","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",30,"scene",1,"low",10,500,0,20.66575342,1
"MotER_500",2,"1","2","930","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",32,"scene",1,"low",11,500,0,20.66575342,1
"MotER_500",2,"3","2","771","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",34,"scene",1,"low",12,500,0,20.66575342,1
"MotER_500",2,"6","2","619","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",37,"scene",1,"low",13,500,0,20.66575342,1
"MotER_500",2,"7","2","675","1","1","2","scene12F","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",38,"scene",1,"low",14,500,0,20.66575342,1
"MotER_500",2,"9","2","944","1","1","2","scene12T","1","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",40,"scene",1,"low",15,500,0,20.66575342,1
"MotER_500",2,"12","1","1203","1","1","2","scene12T","0","jupitercard.png","mooncard.png","mancard2.png","womancard.png","outdoorcard.png","indoorcard.png","e",43,"scene",0,"low",16,500,0,20.66575342,1
