"subid","HighRewSourceMemBenefitDay2"
"500",-0.0745662606127724
"501",-0.0344827586206901
"502",-0.103448275862069
"503",0.0240995762711865
"504",0.010869565217391
"508",-0.0397245762711864
"509",0.08974358974359
"511",0.00943396226415096
"513",-0.206367924528302
"515",-0.103316326530612
"517",-0.00943396226415095
"518",0.00231481481481474
"519",-0.152930402930403
"521",0.0742128935532238
"523",-0.1
"524",0.183078664402943
"528",-0.161490683229813
"530",0.113095238095238
"531",-0.0199692780337941
"532",-0.0190662865288667
"536",-0.0116279069767442
"537",-0.0175438596491228
"540",-0.042857142857143
"541",-0.0263157894736842
"542",0.0405405405405405
"545",0.0454545454545456
"548",-0.305647840531561
"549",0.0398284313725488
"550",-0.034920634920635
"552",-0.089526292916123
"557",-0.0416666666666666
"558",-0.0276567944250871
"559",0.0573152337858222
"560",0.020320855614973
"561",-0.158088235294117
"562",-0.0792316926770706
"563",-0.136513157894737
"566",-0.0213472485768501
"570",0.0127041742286754
"573",-0.0806451612903224
"574",0.116138763197587
"576",-0.0192307692307692
"577",-0.0071684587813622
"581",-0.0581967213114752
"582",-0.116477272727273
"584",0.036184210526316
"586",0.0222222222222225
"587",-0.171491228070176
"588",-0.017241379310345
"591",-0.293478260869565
"592",-0.138736263736264
"593",-0.0725524475524471
"595",-0.132177033492823
"596",-0.0357142857142858
"597",-0.0583976833976833
"598",-0.0892857142857144
"601",-0.0120798319327735
"602",0.0149224806201551
"604",-0.048148148148148
"605",-0.0272727272727273
"608",-0.0592307692307695
"609",-0.055273833671399
"615",0.0158991228070177
"617",0
"622",-0.0216450216450217
"626",-0.0142857142857142
"627",-0.0421195652173913
"629",-0.109126984126984
"631",-0.0833333333333335
"634",0.0625
"635",-0.17445054945055
"636",0.0135135135135135
"637",0.00862068965517204
"638",0.0425876010781675
"641",-0.147560975609756
"642",0.0552568697729987
"643",-0.0299043062200953
"644",0.0354808590102708
"645",-0.09387222946545
"646",0.0623732251521302
"647",-0.05976430976431
"648",0.0581140350877193
"649",-0.158967391304348
"650",0
"651",0.0335775335775336
"653",0.0468085106382977
"654",0.0111111111111115
"655",0.0189905047476263
"656",0.0479302832244012
